201607262					
TV	active	Ciel 2	33453	1 33453U 08063A   16201.24632580 +.00000054 +00000-0 +00000-0 0  9994	2 33453 000.0432 288.8320 0003347 176.6671 151.7854 01.00272273027870
TV	active	Eutelsat Hot Bird 13C	33459	1 33459U 08065A   16201.13802914  .00000084  00000-0  00000+0 0  9992	2 33459   0.0469  56.5684 0006064  57.3294 246.1626  1.00276543 27953
TV	active	Eutelsat 48D	33460	1 33460U 08065B   16200.90891229  .00000120  00000-0  00000+0 0  9996	2 33460   0.0457 352.1617 0002079 138.9834 181.2695  1.00273498 27806
TV	active	NSS 9	33749	1 33749U 09008A   16201.76604661 +.00000067 +00000-0 +00000-0 0  9992	2 33749 000.0173 036.9404 0002400 081.3831 278.5066 01.00273105027221
TV	active	EUTELSAT 33E	33750	1 33750U 09008B   16202.17121532  .00000150  00000-0  00000+0 0  9993	2 33750   0.0402 319.7067 0004504 197.7166 235.6591  1.00271295 27310
TV	active	Eutelsat 10A	34710	1 34710U 09016A   16202.16963336  .00000063  00000-0  00000+0 0  9997	2 34710   0.0631  13.5698 0004809 106.7483 249.0902  1.00272160 26686
TV	active	Measat 3A	35362	1 35362U 09032A   16200.92048658 -.00000245 +00000-0 +00000-0 0  9996	2 35362 000.0204 232.1831 0002231 294.5984 193.2244 01.00268512025946
TV	active	JCSat RA	35755	1 35755U 09044A   16200.81954286 -.00000349 +00000-0 +00000-0 0  9991	2 35755 000.0492 049.8697 0001144 042.3518 267.7882 01.00271040025325
TV	active	Palapa D	35812	1 35812U 09046A   16199.86378030 -.00000360  00000-0  00000+0 0  9998	2 35812   0.0283  78.0922 0002163  43.7261 238.1995  1.00270981 25368
TV	active	Amazonas 2	35942	1 35942U 09054A   16202.37430405 -.00000288  00000-0  00000+0 0  9996	2 35942   0.0313 141.0371 0005733 348.9035 242.3951  1.00272095 24906
TV	active	Eutelsat 36B	36101	1 36101U 09065A   16201.79390491  .00000151  00000-0  00000+0 0  9999	2 36101   0.0628  12.7069 0004310 106.5490 140.4542  1.00270798 24513
TV	active	Intelsat 15	36106	1 36106U 09067A   16202.09820331 -.00000190  00000-0  00000+0 0  9995	2 36106   0.0357 291.3201 0002584 188.6051 298.8818  1.00271459 24312
TV	active	Directv 12	36131	1 36131U 09075A   16202.07528057 -.00000108  00000-0  00000+0 0  9999	2 36131   0.0331 224.6791 0000356 266.8816  91.0174  1.00271250 24090
